"treeID","lat","lon","y","x","code8","genus","species","crown","dbh","elev","slope","swale","code2","crown_2008","crown_2016","dbh_2008","dbh_2012","dbh_2016","scientific"
1426,40.6650392262112,-77.9035199593961,147878.616,587018.8434,"quercusCoccinea","Quercus","coccinea",1,"60.8","275.15986800000002","S","P","QUCO","D","D",56.134,"57.8","60.8","Quercus coccinea"
1427,40.6650317544962,-77.9034398582057,147877.774543,587025.615052,"acerRubrum","Acer","rubrum",NA,"DEAD","276.15744599999999","S","P","ACRU","CD","Dead",35.306,"36.5","DEAD","Acer rubrum"
1428,40.6649847097211,-77.9034724770351,147872.555317,587022.847832,"acerSaccharu","Acer","saccharum",3,"32.799999999999997","276.52264200000002","S","P","ACSA","CD/I","CD/I",32.512,"32.4","32.799999999999997","Acer saccharum"
1429,40.6649186183013,-77.9035258040677,147865.224129,587018.325911,"quercusVelatina","Quercus","velatina",1,"49.1","277.48748699999999","S","P","QUVE","D","D",47.498,"48.8","49.1","Quercus velatina"
1430,40.6649093445352,-77.9034690779997,147864.186,587023.1207,"quercusRubra","Quercus","rubra",2,"53.4","278.98484000000002","S","P","QURU","CD","CD",50.292,"51.5","53.4","Quercus rubra"
1431,40.6648845359588,-77.9034844138615,147861.433421355,587021.819159508,"pinusStrobus","Pinus","strobus",NA,"DEAD","N/A","S","P","PIST","I/CD","Dead",33.782,"34.1","DEAD","Pinus strobus"
1432,40.66482211531,-77.9034863783681,147854.5023,587021.641,"quercusAlba","Quercus","alba",2,"33.1","280.71292099999999","S","P","QUAL","CD","CD",31.496,"32.200000000000003","33.1","Quercus alba"
1433,40.664812756451,-77.9034233616315,147853.4538,587026.9677,"quercusRubra","Quercus","rubra",1,"62.9","282.52312000000001","S","P","QURU","D","D",59.69,"63","62.9","Quercus rubra"
1434,40.6647706435259,-77.903408850432,147848.7753,587028.1866,"quercusAlba","Quercus","alba",2,"34.799999999999997","283.962424","S","P","QUAL","CD","CD",32.512,"33.700000000000003","34.799999999999997","Quercus alba"
1435,40.6647550127846,-77.9033597768892,147847.0324,587032.3331,"quercusPrinus","Quercus","prinus",2,"26.8","285.65136799999999","S","P","QUPR","CD","CD",25.654,"27","26.8","Quercus prinus"
1436,40.6647376128653,-77.9034002825933,147845.1062,587028.9047,"quercusRubra","Quercus","rubra",1,"53","285.18206199999997","S","P","QURU","D","D",49.784,"52.6","53","Quercus rubra"
