"","treeID","gridID","x","y","dbh","code2","cd2_gss","l/d","nt_2021","notes","scintfc","genus","species","code8","geometry"
"338",356,201,584111.7447,148604.1055,24.13,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584111.7447, 148604.1055)
"339",357,201,584111.3866,148604.8359,73.66,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584111.3866, 148604.8359)
"340",358,201,584113.485,148601.6468,11.43,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584113.485, 148601.6468)
"341",359,202,584141.3468,148610.9211,41.148,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584141.3468, 148610.9211)
"342",361,202,584143.9943,148612.7453,34.036,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584143.9943, 148612.7453)
"343",362,202,584151.6473,148612.3076,46.99,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584151.6473, 148612.3076)
"344",363,202,584146.1753,148602.6987,25.908,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584146.1753, 148602.6987)
"345",364,202,584145.3454,148600.5738,54.356,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584145.3454, 148600.5738)
"346",365,202,584152.7265,148602.0622,63.5,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584152.7265, 148602.0622)
"347",366,202,584152.717,148598.7362,17.272,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584152.717, 148598.7362)
"348",367,202,584142.7142,148598.8818,24.384,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584142.7142, 148598.8818)
"349",368,202,584148.0151,148596.7045,43.434,"QUCO",NA,"L",NA,NA,"Quercus coccinea","Quercus","coccinea","quercusCoccinea",c(584148.0151, 148596.7045)
"350",369,202,584148.0024,148594.4351,65.532,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584148.0024, 148594.4351)
"351",370,202,584144.2892,148594.7902,10.922,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584144.2892, 148594.7902)
"352",371,202,584147.6846,148588.3507,23.622,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584147.6846, 148588.3507)
"353",372,202,584144.0205,148590.1088,33.274,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584144.0205, 148590.1088)
"354",373,202,584141.4956,148589.1491,36.83,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584141.4956, 148589.1491)
"355",374,202,584140.5799,148592.4973,18.796,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584140.5799, 148592.4973)
"356",375,202,584138.2947,148587.067,15.494,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584138.2947, 148587.067)
"357",376,202,584134.5811,148588.0692,17.018,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584134.5811, 148588.0692)
"358",377,202,584132.8252,148592.9797,28.448,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584132.8252, 148592.9797)
"359",378,202,584132.9944,148601.5425,43.942,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584132.9944, 148601.5425)
"360",379,202,584129.1974,148605.2911,52.324,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584129.1974, 148605.2911)
"361",380,202,584127.614,148610.3583,16.764,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584127.614, 148610.3583)
"362",381,202,584137.3076,148603.2014,58.166,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584137.3076, 148603.2014)
"363",382,202,584139.0089,148604.3633,19.304,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584139.0089, 148604.3633)
"364",383,203,584121.5029,148573.3849,19.558,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584121.5029, 148573.3849)
"365",384,203,584122.1085,148573.1402,46.482,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584122.1085, 148573.1402)
"366",385,203,584123.7968,148577.3899,16.256,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584123.7968, 148577.3899)
"367",386,203,584123.4233,148575.3312,36.576,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584123.4233, 148575.3312)
"368",387,203,584130.3125,148584.5144,22.352,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584130.3125, 148584.5144)
"369",388,203,584127.7649,148577.9822,52.07,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584127.7649, 148577.9822)
"370",389,203,584127.4905,148577.4111,13.462,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584127.4905, 148577.4111)
"371",390,203,584132.6226,148568.857,38.354,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584132.6226, 148568.857)
"372",391,203,584129.6193,148568.3013,62.738,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584129.6193, 148568.3013)
"373",393,203,584126.343,148566.442,39.624,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584126.343, 148566.442)
"374",394,203,584133.6023,148560.8292,23.876,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584133.6023, 148560.8292)
"375",395,203,584123.6693,148563.8326,54.102,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584123.6693, 148563.8326)
"376",396,203,584121.7232,148557.7355,87.122,"QUAL",NA,"L",NA,"LARGE DIAMETER; DOUBLE STEM SPLITS ABOVE DBH AND COUNTED AS ONE TREE","Quercus alba","Quercus","alba","quercusAlba",c(584121.7232, 148557.7355)
"377",397,203,584119.0456,148562.1726,46.228,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584119.0456, 148562.1726)
"378",398,203,584113.2808,148557.817,19.558,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584113.2808, 148557.817)
"379",399,203,584111.7568,148562.7376,12.7,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584111.7568, 148562.7376)
"380",400,203,584109.346,148563.5094,13.208,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584109.346, 148563.5094)
"381",401,203,584112.8477,148569.8453,21.082,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584112.8477, 148569.8453)
"382",402,203,584110.153,148572.9969,43.688,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584110.153, 148572.9969)
"383",403,203,584117.238,148573.7228,23.622,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584117.238, 148573.7228)
"384",404,203,584120.375,148580.1579,16.51,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584120.375, 148580.1579)
"385",405,203,584120.9069,148579.3881,12.954,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584120.9069, 148579.3881)
"386",406,204,584145.9695,148581.8063,33.528,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584145.9695, 148581.8063)
"387",408,204,584148.8297,148580.1574,23.876,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584148.8297, 148580.1574)
"388",409,204,584155.5275,148585.6435,39.116,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584155.5275, 148585.6435)
"389",410,204,584156.2172,148580.1409,25.654,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584156.2172, 148580.1409)
"390",411,204,584157.2172,148577.873,42.926,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584157.2172, 148577.873)
"391",412,204,584157.5459,148577.6807,14.732,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584157.5459, 148577.6807)
"392",413,204,584149.9602,148576.5899,11.684,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584149.9602, 148576.5899)
"393",414,204,584157.21,148573.573,17.78,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584157.21, 148573.573)
"394",415,204,584152.8917,148573.3706,59.69,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584152.8917, 148573.3706)
"395",416,204,584155.3857,148566.7396,13.716,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584155.3857, 148566.7396)
"396",417,204,584151.0775,148570.0618,39.624,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584151.0775, 148570.0618)
"397",418,204,584154.9142,148566.1349,14.224,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584154.9142, 148566.1349)
"398",419,204,584154.6706,148566.0174,23.622,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584154.6706, 148566.0174)
"399",420,204,584153.6413,148564.4568,20.066,"NYSY",NA,"L",NA,"LEAN","Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584153.6413, 148564.4568)
"400",421,204,584145.5529,148574.4369,43.942,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584145.5529, 148574.4369)
"401",422,204,584145.9521,148572.7895,44.958,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584145.9521, 148572.7895)
"402",423,204,584144.1944,148573.5007,15.494,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584144.1944, 148573.5007)
"403",424,204,584136.1907,148560.8773,10.414,"COFL",NA,"L",NA,NA,"Cornus florida","Cornus","florida","cornusFlorida",c(584136.1907, 148560.8773)
"404",426,204,584136.5017,148568.4097,17.272,"ACRU",NA,"L",NA,"DOUBLE STEM","Acer rubrum","Acer","rubrum","acerRubrum",c(584136.5017, 148568.4097)
"405",427,204,584136.1679,148568.3581,22.098,"ACRU",NA,"L",NA,"DOUBLE STEM","Acer rubrum","Acer","rubrum","acerRubrum",c(584136.1679, 148568.3581)
"406",428,204,584134.804,148570.0728,36.068,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584134.804, 148570.0728)
"407",429,204,584136.1303,148572.4465,27.94,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584136.1303, 148572.4465)
"408",430,204,584138.0996,148574.2541,10.414,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584138.0996, 148574.2541)
"409",431,204,584133.2615,148575.5198,10.16,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584133.2615, 148575.5198)
"410",432,204,584132.1538,148576.9393,18.288,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584132.1538, 148576.9393)
"411",433,204,584137.4483,148577.0276,65.786,"QURU",NA,"L",NA,"DOUBLE STEM","Quercus rubra","Quercus","rubra","quercusRubra",c(584137.4483, 148577.0276)
"412",434,204,584137.7195,148577.2355,42.418,"QURU",NA,"L",NA,"DOUBLE STEM","Quercus rubra","Quercus","rubra","quercusRubra",c(584137.7195, 148577.2355)
"413",435,204,584136.5854,148580.4478,16.51,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584136.5854, 148580.4478)
"414",436,204,584134.9796,148581.5143,34.29,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584134.9796, 148581.5143)
"415",437,205,584168.1988,148617.4572,48.006,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584168.1988, 148617.4572)
"416",438,205,584170.4254,148611.6368,48.514,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584170.4254, 148611.6368)
"417",439,205,584172.5574,148615.0488,17.018,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584172.5574, 148615.0488)
"418",440,205,584172.0486,148613.8189,23.876,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584172.0486, 148613.8189)
"419",441,205,584173.9877,148610.3716,17.78,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584173.9877, 148610.3716)
"420",442,205,584175.4079,148611.23,16.51,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584175.4079, 148611.23)
"421",446,205,584173.0417,148602.2702,19.812,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584173.0417, 148602.2702)
"422",448,205,584176.4234,148599.5815,13.97,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584176.4234, 148599.5815)
"423",449,205,584169.2405,148600.5965,17.272,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584169.2405, 148600.5965)
"424",450,205,584171.5749,148595.8749,57.658,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584171.5749, 148595.8749)
"425",452,205,584166.8372,148600.3588,49.022,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584166.8372, 148600.3588)
"426",453,205,584170.4218,148593.7723,10.922,"NYSY",NA,"L","Fixed typo of ""43"" DBH to 4.3"" Confirmed 3/4/21",NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584170.4218, 148593.7723)
"427",454,205,584164.25,148598.75,41.402,"QUMO",NA,"L","Corrected position after field follow up 3/4/21",NA,"Quercus montana","Quercus","montana","quercusMontana",c(584164.25, 148598.75)
"428",455,205,584163.4261,148592.1876,40.64,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584163.4261, 148592.1876)
"429",456,205,584159.5972,148590.7058,46.99,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584159.5972, 148590.7058)
"430",457,205,584158.0132,148590.8297,17.272,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584158.0132, 148590.8297)
"431",458,205,584154.3924,148606.7398,43.688,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584154.3924, 148606.7398)
"432",459,205,584158.2621,148610.9147,29.464,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584158.2621, 148610.9147)
"433",460,205,584164.6429,148604.4333,40.386,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584164.6429, 148604.4333)
"434",461,205,584164.1994,148605.5367,21.59,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584164.1994, 148605.5367)
"435",462,205,584163.7931,148613.0758,16.002,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584163.7931, 148613.0758)
"436",463,206,584190.5561,148615.9902,19.812,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584190.5561, 148615.9902)
"437",465,206,584198.6344,148616.4847,22.098,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584198.6344, 148616.4847)
"438",466,206,584198.0199,148615.7024,16.002,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584198.0199, 148615.7024)
"439",467,206,584196.0748,148611.3408,31.496,"QUVE",NA,"L",NA,"LEAN","Quercus velutina","Quercus","velutina","quercusVelutina",c(584196.0748, 148611.3408)
"440",468,206,584194.9188,148609.6166,19.558,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584194.9188, 148609.6166)
"441",469,206,584197.9037,148608.523,58.674,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584197.9037, 148608.523)
"442",470,206,584202.517,148606.3343,23.368,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584202.517, 148606.3343)
"443",471,206,584199.1012,148604.6653,19.05,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584199.1012, 148604.6653)
"444",472,206,584199.6005,148600.2874,40.64,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584199.6005, 148600.2874)
"445",473,206,584196.8934,148600.3536,20.32,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584196.8934, 148600.3536)
"446",475,206,584192.4239,148604.7671,21.844,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584192.4239, 148604.7671)
"447",476,206,584192.9927,148601.2867,35.306,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584192.9927, 148601.2867)
"448",477,206,584189.9606,148599.6634,49.276,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584189.9606, 148599.6634)
"449",478,206,584185.7622,148597.0765,14.732,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584185.7622, 148597.0765)
"450",479,206,584182.1025,148594.3272,19.05,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584182.1025, 148594.3272)
"451",480,206,584183.0627,148596.6498,15.494,"ACRU",NA,"L",NA,"DOUBLE STEM","Acer rubrum","Acer","rubrum","acerRubrum",c(584183.0627, 148596.6498)
"452",481,206,584182.0288,148597.2833,16.002,"ACRU",NA,"L",NA,"DOUBLE STEM","Acer rubrum","Acer","rubrum","acerRubrum",c(584182.0288, 148597.2833)
"453",482,206,584183.7511,148603.5469,23.368,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584183.7511, 148603.5469)
"454",484,206,584185.8558,148607.7489,52.832,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584185.8558, 148607.7489)
"455",485,206,584183.88,148608.288,15.748,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584183.88, 148608.288)
"456",487,206,584188.1856,148611.604,23.368,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584188.1856, 148611.604)
"457",488,207,584170.0757,148582.5715,24.13,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584170.0757, 148582.5715)
"458",489,207,584176.9156,148588.0956,11.684,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584176.9156, 148588.0956)
"459",490,207,584177.4109,148583.2951,21.844,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584177.4109, 148583.2951)
"460",491,207,584178.2363,148581.7361,57.404,"QUVE",NA,"L",NA,"DOUBLE STEM","Quercus velutina","Quercus","velutina","quercusVelutina",c(584178.2363, 148581.7361)
"461",492,207,584177.7614,148581.484,45.974,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584177.7614, 148581.484)
"462",493,207,584177.7098,148579.0176,56.134,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584177.7098, 148579.0176)
"463",494,207,584175.7116,148576.6529,15.24,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584175.7116, 148576.6529)
"464",495,207,584182.9632,148570.739,28.956,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584182.9632, 148570.739)
"465",496,207,584176.5377,148569.3355,22.098,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584176.5377, 148569.3355)
"466",497,207,584172.4611,148573.0132,16.256,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584172.4611, 148573.0132)
"467",498,207,584171.1387,148572.5145,21.844,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584171.1387, 148572.5145)
"468",499,207,584169.8103,148570.1084,15.494,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584169.8103, 148570.1084)
"469",500,207,584169.0961,148578.299,17.272,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584169.0961, 148578.299)
"470",502,207,584163.0832,148572.9332,41.656,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584163.0832, 148572.9332)
"471",503,207,584163.4462,148573.5204,48.26,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584163.4462, 148573.5204)
"472",504,207,584162.1514,148580.1034,17.526,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584162.1514, 148580.1034)
"473",505,207,584161.6192,148581.005,43.18,"QURU",NA,"L",NA,NA,"Quercus rubra","Quercus","rubra","quercusRubra",c(584161.6192, 148581.005)
"474",506,207,584156.8451,148582.3832,12.192,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584156.8451, 148582.3832)
"475",507,207,584160.8054,148583.7244,36.576,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584160.8054, 148583.7244)
"476",508,207,584159.8699,148587.1754,16.256,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584159.8699, 148587.1754)
"477",510,207,584164.2566,148587.1557,50.546,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584164.2566, 148587.1557)
"478",511,207,584169.4455,148580.9258,20.32,"NYSY",NA,"L",NA,NA,"Nyssa sylvatica","Nyssa","sylvatica","nyssaSylvatic",c(584169.4455, 148580.9258)
"479",512,208,584195.1594,148592.9035,25.4,"QUAL",NA,"L",NA,"LEAN","Quercus alba","Quercus","alba","quercusAlba",c(584195.1594, 148592.9035)
"480",513,208,584199.1893,148593.4848,12.446,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584199.1893, 148593.4848)
"481",514,208,584201.774,148597.2787,62.738,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584201.774, 148597.2787)
"482",515,208,584199.5436,148591.9119,52.07,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584199.5436, 148591.9119)
"483",516,208,584204.5721,148594.4798,15.24,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584204.5721, 148594.4798)
"484",517,208,584205.6741,148589.3219,20.32,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584205.6741, 148589.3219)
"485",518,208,584209.444,148583.547,18.288,"CASP",NA,"L",NA,NA,"Carya spp.","Carya","UNKN","caryaUNKN",c(584209.444, 148583.547)
"486",519,208,584208.5383,148577.1176,27.686,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584208.5383, 148577.1176)
"487",520,208,584203.8876,148579.4815,31.496,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584203.8876, 148579.4815)
"488",521,208,584202.5547,148575.6906,22.86,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584202.5547, 148575.6906)
"489",522,208,584200.7886,148576.9199,13.462,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584200.7886, 148576.9199)
"490",523,208,584200.5259,148577.2561,10.668,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584200.5259, 148577.2561)
"491",524,208,584200.3896,148575.9246,30.226,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584200.3896, 148575.9246)
"492",525,208,584197.3019,148580.6793,28.702,"QUAL",NA,"L",NA,NA,"Quercus alba","Quercus","alba","quercusAlba",c(584197.3019, 148580.6793)
"493",526,208,584197.0041,148573.5167,28.956,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584197.0041, 148573.5167)
"494",527,208,584194.8412,148582.8493,19.304,"ACRU",NA,"L",NA,NA,"Acer rubrum","Acer","rubrum","acerRubrum",c(584194.8412, 148582.8493)
"495",528,208,584194.1538,148578.5216,51.562,"QUVE",NA,"L",NA,"DOUBLE STEM","Quercus velutina","Quercus","velutina","quercusVelutina",c(584194.1538, 148578.5216)
"496",529,208,584192.6369,148578.8165,52.324,"QUVE",NA,"L",NA,"DOUBLE STEM","Quercus velutina","Quercus","velutina","quercusVelutina",c(584192.6369, 148578.8165)
"497",530,208,584186.907,148576.3066,19.304,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584186.907, 148576.3066)
"498",531,208,584190.5096,148580.6144,17.78,"FAGR",NA,"L",NA,NA,"Fagus grandifolia","Fagus","grandifolia","fagusGrandifo",c(584190.5096, 148580.6144)
"499",532,208,584184.6985,148575.6164,47.498,"QUCO",NA,"L",NA,NA,"Quercus coccinea","Quercus","coccinea","quercusCoccinea",c(584184.6985, 148575.6164)
"500",533,208,584190.4143,148583.324,36.322,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584190.4143, 148583.324)
"501",534,208,584187.9557,148583.9128,30.734,"QUMO",NA,"L",NA,NA,"Quercus montana","Quercus","montana","quercusMontana",c(584187.9557, 148583.9128)
"502",535,208,584187.6347,148588.0921,25.4,"PIST",NA,"L",NA,NA,"Pinus strobus","Pinus","strobus","pinusStrobus",c(584187.6347, 148588.0921)
"503",536,208,584190.4106,148587.166,31.75,"QUVE",NA,"L",NA,NA,"Quercus velutina","Quercus","velutina","quercusVelutina",c(584190.4106, 148587.166)
"504",537,208,584189.8601,148589.4194,49.022,"QUCO",NA,"L",NA,NA,"Quercus coccinea","Quercus","coccinea","quercusCoccinea",c(584189.8601, 148589.4194)
